afid,number_occurences,affilname,affiliation_city,affiliation_country,city_country,lat,long
60170457,1,Essex Business School,Colchester,United Kingdom,"Colchester, United Kingdom",51.8896903,0.8994651
60170469,1,School of Management,Swansea,United Kingdom,"Swansea, United Kingdom",51.6195955,-3.9459248
60170563,1,Faculty of Business and Law,Portsmouth,United Kingdom,"Portsmouth, United Kingdom",50.800031,-1.0906023
60171142,1,ISC Paris Business School,Paris,France,"Paris, France",48.8534951,2.3483915
60173004,1,Nottingham University Business School China,Ningbo,China,"Ningbo, China",29.8622194,121.6203873
60176025,1,UCL School of Management,London,United Kingdom,"London, United Kingdom",51.5073359,-0.12765
60189515,1,Griffith Business School,Brisbane,Australia,"Brisbane, Australia",-27.4689682,153.0234991
60190568,1,Odette School of Business,Windsor,Canada,"Windsor, Canada",42.2858536,-82.9780695
60190890,1,UNSW Business School,Kensington,Australia,"Kensington, Australia",-33.9117191,151.2195058
60193403,1,École de Gestion Telfer,Ottawa,Canada,"Ottawa, Canada",45.4208777,-75.6901106
60196726,1,College of Business and Economics,Doha,Qatar,"Doha, Qatar",25.2856329,51.5264162
60199632,1,Gachon University,Seongnam,South Korea,"Seongnam, South Korea",37.4201556,127.1262092
60211707,1,University of Stellenbosch Business School,Cape Town,South Africa,"Cape Town, South Africa",-33.928992,18.417396
60211835,1,Louvain School of Management,Louvain-la-Neuve,Belgium,"Louvain-la-Neuve, Belgium",50.6741689,4.613790587187648
60211855,1,"Dipartimento di Economia, Management e Diritto dell'Impresa",Bari,Italy,"Bari, Italy",41.1257843,16.8620293
60212023,1,The University of Sydney Business School,Sydney,Australia,"Sydney, Australia",-33.8698439,151.2082848
60212346,1,Othman Yeop Abdullah Graduate School of Business,Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",3.1516964,101.6942371
60227249,1,Iscte Business School,Lisbon,Portugal,"Lisbon, Portugal",38.7077507,-9.1365919
60238182,1,College of Management,Taipei,Taiwan,"Taipei, Taiwan",25.0375198,121.5636796
60272065,1,Rajamangala University of Technology Rattanakosin,Phutthamonthon,Thailand,"Phutthamonthon, Thailand",13.8012211,100.3243455
60276438,1,Dentsu Group Inc.,Tokyo,Japan,"Tokyo, Japan",35.6840574,139.7744912
100355100,1,Vancouver Community College,Vancouver,Canada,"Vancouver, Canada",49.2608724,-123.113952
100435837,1,School of Business Administration,University,United States,"University, United States",25.7148148,-80.2769765
101405996,1,Cape Town,Cape Town,South Africa,"Cape Town, South Africa",-33.928992,18.417396
106121997,1,Villanova School of Business,Villanova,United States,"Villanova, United States",40.0373323,-75.3490769
109641200,1,BarryAnalytics Ltd,Borehamwood,United Kingdom,"Borehamwood, United Kingdom",51.6604863,-0.2706506
112391316,1,XLNT Consulting,Tilburg,Netherlands,"Tilburg, Netherlands",51.58561845,5.0660616131367675
113868605,1,InSites Consulting,New York,United States,"New York, United States",40.7127281,-74.0060152
117308432,1,ADS Telemarketing,Bristol,United Kingdom,"Bristol, United Kingdom",51.4538022,-2.5972985
121884397,1,Kwantum LLC,La Crosse,United States,"La Crosse, United States",43.8122836,-91.2514355
122406758,1,Warwick Analytics,London,United Kingdom,"London, United Kingdom",51.5073359,-0.12765
123895126,1,Intelligencia Limited,Hong Kong,Hong Kong,"Hong Kong, Hong Kong",22.2793278,114.1628131
124199746,1,Pansensic Limited,Bude,United Kingdom,"Bude, United Kingdom",50.8285252,-4.5469361
124386756,1,Institut Agama Islam Darussalam (IAID),Ciamis,Indonesia,"Ciamis, Indonesia",-7.313159300000001,108.40489379583816
125711562,1,Consumer Deposits Products and Payments (CDPP),Falmouth,United States,"Falmouth, United States",38.6767366,-84.3304592
125805148,1,Insaas GmbH,Munich,Germany,"Munich, Germany",48.1371079,11.5753822
125818967,1,CenturyLink,Bengaluru,India,"Bengaluru, India",12.9767936,77.590082
126686248,1,Sol Plaatje University,Kimberley,South Africa,"Kimberley, South Africa",-28.7383012,24.7642251
126729199,1,Qtati.com,London,United Kingdom,"London, United Kingdom",51.5073359,-0.12765
127027408,1,Corporate Innovation and Emerging Technologies,Softtek,Mexico,"Softtek, Mexico",25.6730607,-100.3914473
127772089,1,Que Advisors,Queretaro,Mexico,"Queretaro, Mexico",20.5927744,-100.3902245
127775328,1,Lanagara College,Vancouver,Canada,"Vancouver, Canada",49.2608724,-123.113952
127962130,1,Hackers and Founders Research,Palo Alto,United States,"Palo Alto, United States",37.4443293,-122.1598465
128158317,1,DataEQ,Cape Town,South Africa,"Cape Town, South Africa",-33.928992,18.417396
128210654,1,MARA,Mannheim,Germany,"Mannheim, Germany",49.4892913,8.4673098
128301990,1,Hackers and Founders Research,San Jose,United States,"San Jose, United States",37.3361663,-121.890591
129050825,1,University of Management and Technology (UMT) Main Campus,Ho Chi Minh City,Viet Nam,"Ho Chi Minh City, Viet Nam",10.7763897,106.7011391
129787690,1,IAE Amiens,Amiens,France,"Amiens, France",49.8941708,2.2956951
